Happy,Watching Movie,Sweet
Sad,Reading Book,Sour
Excited,Partying,Spicy
Relaxed,Listening to Music,Sweet
Stressed,Working,Sour
Angry,Driving,Spicy
Joyful,Holiday,Sweet
Confused,Studying,Sour
Bored,Socializing,Sweet
Tired,Resting,Sweet
Energetic,Workout,Spicy
Calm,Meditation,Sweet
Nervous,Preparing for an Exam,Sour
Excited,Cooking,Spicy
Lonely,Watching TV,Sweet
Content,Spending Time with Family,Sweet
Motivated,Starting a New Project,Spicy
Nostalgic,Looking at Old Photos,Sweet
Irritated,Waiting in Traffic,Sour
Curious,Exploring New Topics,Sweet
